,,,,,,,,,,
Number of Border points acording to epsilon and k,,,,,,,,,,
epsilon/k,1,2,3,4,5,6,7,8,9,10
50,151,289,347,389,405,409,409,414,416,417
100,0,75,143,202,240,277,316,348,368,384
150,0,9,34,53,71,93,108,135,163,178
200,0,2,9,21,29,43,59,69,77,89
250,0,1,4,10,15,27,31,40,46,55
300,0,0,2,4,8,12,14,24,32,33
350,0,0,1,2,5,6,10,12,17,20
400,0,0,0,1,1,2,6,9,9,14
450,0,0,0,0,1,1,2,5,6,9
500,0,0,0,0,0,0,1,1,3,5
550,0,0,0,0,0,0,0,0,1,3
600,0,0,0,0,0,0,0,0,0,1
650,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
