,,,,,,,,,,
Number of Outlier points acording to epsilon and k,,,,,,,,,,
epsilon/k,1,2,3,4,5,6,7,8,9,10
50,290,432,487,529,544,547,551,559,559,559
100,130,177,236,291,334,367,408,437,460,476
150,42,65,105,121,145,169,190,217,240,260
200,26,36,52,66,90,108,128,138,148,164
250,21,29,42,50,59,73,82,100,105,116
300,16,24,32,38,42,46,50,64,76,82
350,11,18,27,31,34,39,40,45,50,57
400,8,13,21,24,27,30,33,34,38,43
450,5,8,17,19,20,22,28,29,33,34
500,4,6,11,12,13,16,20,23,28,30
550,2,4,5,10,13,14,17,20,23,25
600,1,3,4,7,9,11,15,17,17,20
650,1,3,4,7,9,10,13,15,17,19
700,1,3,4,5,6,8,9,9,12,14
750,1,3,4,4,5,5,8,8,9,12
800,1,3,3,3,4,4,6,7,7,9
850,0,3,3,3,4,4,4,6,7,8
900,0,2,2,2,3,3,3,5,6,7
950,0,1,1,1,2,2,2,4,4,5
1000,0,0,0,0,1,1,1,3,3,4
